symbol,address,decimals
APU,26s3UGB9hund1qspApy1zYgCritxAooGg7o63BMn89Yq,8
FRXUSD,GzX1ireZDU865FiMaKrdVB1H6AE8LAqWYCg6chrMrfBw,9
NUB,GtDZKAqvMZMnti46ZewMiXCa4oXF4bZxwQPoKzXPFxZn,9
CUDIS,CudisfkgWvMKnZ3TWf6iCuHm8pN2ikXhDcWytwz6f6RN,9
K,ERpDpYmuifJUKbaB1Dv9hnJ67RM21Jujmxz18JCeDzbr,9
MDT,8Wqbst4qAN2FqBCCh5gdXq2WJ7vTNWEY4oNLrpUg7Tya,8
USD1,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,6
YZY,DrZ26cKJDksVRWib3DVVsjo9eeXccc7hKhDJviiYEEZY,6
NOBODY,C29ebrgYjYoJPMGPnPSGY1q3mMGk4iDSqnQeQQA7moon,9
MIM,M1M6sdffCs3ozzhpRveweRCWdZhxth4mvVujPtYEC3h,2
URANUS,BFgdzMkTPdKKJeTipv2njtDEwhKxkgFueJQfJGt1jups,6
CAW,CAW777xcHVTQZ4CRwVQGB8CV1BVKPm5bNVxFJHWFKiH8,2
LIGHT,LiGHtkg3uTa9836RaNkKLLriqTNRcMdRAhqjGWNv777,9
WLFI,WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g,6
SONIC,SonicxvLud67EceaEzCLRnMTBqzYUUYNr93DBkBdDES,9
