chain_id,symbol,name,address,decimals
137,USDT,(PoS) Tether USD,0xc2132d05d31c914a87c6611c10748aeb04b58e8f,6
137,USDC,USD Coin,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,6
137,LINK,ChainLink Token,0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39,18
137,WETH,Wrapped Ether (Wormhole),0x11cd37bb86f65419713f30673a480ea33c826872,18
137,WETH,Wrapped Ether,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,18
137,AVAX,Avalanche Token,0x2c89bbc92bd86f8075d1decc58c7f4e0107f286b,18
137,DAI,(PoS) Dai Stablecoin,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063,18
137,UNI,Uniswap (PoS),0xb33eaad8d922b1083446dc23f610c2567fb5180f,18
137,ATOM,Cosmos (PoS),0xac51c4c48dc3116487ed4bc16542e27b5694da1b,6
137,RNDR,Render Token,0x61299774020da444af134c82fa83e3810b309991,18
137,AAVE,Aave (PoS),0xd6df932a45c0f255f85145f286ea0b292b21c90b,18
137,GRT,Graph Token (PoS),0x5fe2b58c013d7601147dcdd68c143a77499f5531,18
137,LDO,Lido DAO Token (PoS),0xc3c7d422809852031b44ab29eec9f1eff2a58756,18
137,WBNB,Wrapped BNB (Wormhole),0xecdcb5b88f8e3c15f95c720c51c71c9e2080525d,18
137,USDC.e,USD Coin (PoS),0x2791bca1f2de4661ed88a30c99a7a9449aa84174,6
137,OM,MANTRA DAO (PoS),0xc3ec80343d2bae2f8e680fdadde7c17e71e114ea,18
137,FRAX,Frax,0x45c32fa6df82ead1e2ef74d17b76547eddfaff89,18
137,SAND,SAND,0xbbba073c31bf03b8acf7c28ef0738decf3695683,18
137,frxETH,Frax Ether,0xee327f889d5947c1dc1934bb208a1e792f953e96,18
137,MANA,(PoS) Decentraland MANA,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4,18
137,CHZ,CHZ (PoS),0xf1938ce12400f9a761084e7a80d37e732a4da056,18
137,SNX,Synthetix Network Token (PoS),0x50b728d8d964fd00c2d0aad81718b71311fef68a,18
137,LUNA,LUNA (Wormhole),0x9cd6746665d9557e1b9a775819625711d0693439,6
137,sfrxETH,Staked Frax Ether,0x6d1fdbb266fcc09a16a22016369210a15bb95761,18
137,AXL,Axelar,0x6e4e624106cb12e168e6533f8ec7c82263358940,6
137,ZRO,LayerZero,0x6985884c4392d348587b19cb9eaaf157f13271cd,18
137,COMP,(PoS) Compound,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c,18
137,APE,ApeCoin (PoS),0xb7b31a6bc18e48888545ce79e83e06003be70930,18
137,CRV,CRV (PoS),0x172370d5cd63279efa6d502dab29171933a610af,18
137,1INCH,1Inch (PoS),0x9c2c5fd7b07e95ee044ddeba0e97a665f142394f,18
137,GLM,Golem Network Token (PoS),0x0b220b82f3ea3b7f6d9a1d8ab58930c064a2b5bf,18
137,WOO,Wootrade Network (PoS),0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603,18
137,GMT,GreenMetaverseToken,0x714db550b574b3e927af3d93e26127d15721d4c2,8
137,OSMO,Osmosis (PoS),0x8c7a56f2f2fd97da0f5b4fade180fa8dc3fbea8d,6
137,ANKR,Ankr (PoS),0x101a023270368c0d50bffb62780f4afd4ea79c35,18
137,BAT,Basic Attention Token (PoS),0x3cef98bb43d732e2f285ee605a8158cde967d219,18
137,RPL,Rocket Pool (PoS),0x7205705771547cf79201111b4bd8aaf29467b9ec,18
137,OUSG,Ondo Short-Term U.S. Government,0xba11c5effa33c4d6f8f593cfa394241cfe925811,18
137,SOL,Wrapped SOL (Wormhole),0xd93f7e271cb87c23aaa73edc008a79646d1f9912,9
137,FXS,Frax Share,0x1a3acf6d19267e2d3e7f898f42803e90c9219062,18
137,ONT,Poly-Peg ONT,0xd4814770065f634003a8d8d70b4743e0c3f334ad,9
137,SUSHI,SushiToken (PoS),0x0b3f868e0be5597d5db7feb59e1cadbb0fdda50a,18
137,TEL,Telcoin (PoS),0xdf7837de1f2fa4631d716cf2502f8b230f1dcc32,2
137,EURS,STASIS EURS Token (PoS),0xe111178a87a3bff0c8d18decba5798827539ae99,2
137,BAL,Balancer (PoS),0x9a71012b13ca4d3d0cdc72a177df3ef03b0e76a3,18
137,SYN,Synapse,0xf8f9efc0db77d8881500bb06ff5d6abc3070e695,18
137,IQ,Everipedia IQ (PoS),0xb9638272ad6998708de56bbc0a290a1de534a578,18
137,INST,Instadapp (PoS),0xf50d05a1402d0adafa880d36050736f9f6ee7dee,18
137,YFI,(PoS) yearn.finance,0xda537104d6a5edd53c6fbba9a898708e465260b6,18
137,ZIG,ZigCoin,0x7bebd226154e865954a87650faefa8f485d36081,18
137,CTSI,Cartesi Token (PoS),0x2727ab1c2d22170abc9b595177b2d5c6e1ab7b7b,18
137,UST,Wrapped UST Token (PoS),0x692597b009d13c4049a947cab2239b7d6517875f,18
137,SURE,inSure (PoS),0xf88332547c680f755481bf489d890426248bb275,18
137,DODO,DODO bird (PoS),0xe4bf2864ebec7b7fdf6eeca9bacae7cdfdaffe78,18
137,GNS,Gains Network,0xe5417af564e4bfda1c483642db72007871397896,18
137,PYR,PYR Token,0x430ef9263e76dae63c84292c3409d61c598e9682,18
137,ORBS,Orbs (PoS),0x614389eaae0a6821dc49062d56bda3d9d45fa2ff,18
137,NAKA,Nakamoto.Games,0x311434160d7537be358930def317afb606c0d737,18
137,KNC,Kyber Network Crystal v2 (PoS),0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c,18
137,LUSD,LUSD Stablecoin (PoS),0x23001f892c0c82b79303edc9b9033cd190bb21c7,18
137,BADGER,Badger (PoS),0x1fcbe5937b0cc2adf69772d228fa4205acf4d9b2,18
137,WMATIC,Wrapped Matic,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,18
137,CBK,Cobak Token (PoS),0x4ec203dd0699fac6adaf483cdd2519bc05d2c573,18
137,FIRE,Matr1x Fire Token,0x838c9634de6590b96aeadc4bc6db5c28fd17e3c2,18
137,USTBL,Spiko US T-Bills Money Market Fund,0xe4880249745eac5f1ed9d8f7df844792d560e750,5
137,RAMP,RAMP (PoS),0xaecebfcf604ad245eaf0d5bd68459c3a7a6399c2,18
137,DPI,DefiPulse Index (PoS),0x85955046df4668e1dd369d2de9f3aeb98dd2a369,18
137,BIM,BIM,0xe78649874bcdb7a9d1666e665f340723a0187482,18
137,VOXEL,VOXEL Token,0xd0258a3fd00f38aa8090dfee343f10a9d4d30d3f,18
137,KPN,KonnektVPN,0x8328e6fcec9477c28298c9f02d740dd87a1683e5,18
137,GEOD,Geodnet Token,0xac0f66379a6d7801d7726d5a943356a172549adb,18
137,INDEX,Index (PoS),0xfbd8a3b908e764dbcd51e27992464b4432a1132b,18
137,MUBI,MUBI,0xb1a91036e4a3c144efed953e0b6cc5f6b98ad256,18
137,FRONT,Frontier Token (PoS),0xa3ed22eee92a3872709823a6970069e12a4540eb,18
137,WIFI,WiFi Map,0xe238ecb42c424e877652ad82d8a939183a04c35f,18
137,IXT,PlanetIX,0xe06bd4f5aac8d0aa337d13ec88db6defc6eaeefe,18
